@relation 'cluster-weka.filters.unsupervised.attribute.Remove-R1-6-weka.filters.unsupervised.attribute.Remove-R2-5-weka.filters.unsupervised.attribute.Remove-R7-8-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A<1000,0,1)-V-Rlast-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute workers numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric
@attribute latency {0,1}

@data
95,16,6,23,99,11,1
10,35,13,5,39,13,0
22,18,25,3,68,17,0
34,6,19,28,32,4,1
72,18,14,16,64,8,1
54,35,35,8,44,11,0
70,11,11,8,90,10,1
94,6,4,20,66,11,1
48,25,31,12,90,9,1
33,30,13,18,64,16,1
56,14,11,10,111,37,1
6,14,27,30,110,22,1
37,23,30,5,49,7,0
60,33,22,16,28,7,1
40,18,29,21,48,16,1
11,9,31,24,56,14,1
71,14,29,30,81,9,1
19,24,29,10,40,5,1
10,17,4,28,42,14,1
6,31,9,23,88,11,1
30,23,9,1,77,11,0
48,25,17,1,30,3,0
54,4,18,9,108,36,1
14,17,19,25,28,4,1
9,24,32,8,108,36,1
16,14,8,8,36,6,1
79,32,23,19,119,17,1
71,8,7,21,45,5,1
31,4,26,31,81,9,1
93,9,18,10,92,23,1
53,6,13,2,110,11,0
82,16,9,1,32,4,0
28,11,31,17,30,3,1
79,8,33,11,104,13,1
6,15,27,27,105,21,1
12,22,11,28,70,10,1
38,20,16,4,70,7,0
30,9,12,9,85,17,1
33,24,32,29,108,18,1
17,14,15,2,80,10,0
59,16,12,17,85,17,1
17,26,32,16,104,13,1
40,27,32,1,70,10,0
62,26,15,31,63,7,1
57,23,30,16,84,12,1
30,7,7,2,36,12,0
7,21,9,2,44,11,0
17,21,7,27,108,12,1
25,31,14,4,65,13,0
62,5,19,29,80,8,1
16,35,33,16,84,21,1
8,29,33,15,60,6,1
94,6,35,12,90,15,1
94,17,18,9,56,14,0
85,7,30,7,105,15,0
68,28,31,24,80,16,1
91,24,25,4,56,14,0
84,18,27,6,32,8,0
56,26,32,8,45,5,0
43,14,9,16,84,14,1
32,5,29,13,110,11,1
8,30,32,7,63,9,1
6,28,17,9,65,13,1
90,15,21,11,54,6,1
71,34,15,6,88,11,0
49,14,12,17,64,8,1
36,22,16,14,110,11,1
55,7,4,5,80,20,1
88,22,4,21,56,8,1
64,4,22,10,56,14,1
10,7,31,13,115,23,1
65,11,18,7,80,8,0
43,28,21,5,108,36,0
11,33,13,26,80,8,1
50,10,29,30,30,5,1
75,8,12,2,88,11,0
62,15,17,15,40,5,1
55,18,25,1,57,19,0
61,26,19,24,70,10,1
93,7,34,30,64,8,1
36,33,4,9,32,4,1
7,34,21,20,40,5,1
51,29,34,20,84,12,1
8,25,27,17,78,26,1
77,26,20,3,36,6,0
4,30,7,23,49,7,1
87,27,29,11,56,8,0
96,24,32,3,30,3,0
70,11,10,10,30,3,1
19,9,15,17,78,13,1
6,34,9,4,33,11,0
20,20,8,31,36,9,1
38,35,33,4,91,13,0
64,18,12,16,77,11,1
15,15,24,28,42,14,1
11,27,9,13,68,17,1
87,30,5,22,104,26,1
7,6,24,3,90,30,0
35,9,8,29,42,14,1
