@relation 'cluster-weka.filters.unsupervised.attribute.Remove-R2-3-weka.filters.unsupervised.attribute.Remove-R15-17-weka.filters.unsupervised.attribute.Remove-R2-4,6-9'

@attribute onBoltRate numeric
@attribute workers numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric

@data
207241,31,8,21,13,90,18
174121,67,5,6,19,49,7
227498,22,12,20,12,68,17
127655,32,7,33,28,90,10
168051,28,19,35,20,108,27
231535,68,21,32,8,72,9
200541,54,22,6,25,60,10
231081,66,28,15,12,42,6
211434,88,31,25,17,44,11
147557,23,33,30,19,72,8
157800,92,35,13,9,72,8
237498,56,33,29,22,84,14
198371,87,24,30,22,54,9
81542,7,21,26,10,65,13
231172,42,14,26,12,70,7
123322,46,24,14,10,104,13
209192,73,6,30,6,90,15
19281,16,30,5,30,81,9
222584,63,24,17,27,60,10
220787,66,14,34,29,108,36
118256,31,14,12,6,80,8
221028,54,10,22,23,108,27
246667,42,17,24,6,56,14
180928,95,14,30,19,49,7
160792,68,14,18,19,110,11
266633,48,35,21,23,32,8
203749,54,5,24,8,63,9
82170,13,22,34,2,105,15
151404,8,9,30,3,45,9
190097,96,33,29,30,56,8
64493,23,7,4,7,104,26
196911,49,4,33,26,40,5
177329,23,31,25,25,49,7
81139,12,13,33,32,63,21
223016,67,22,18,7,60,10
217042,63,14,17,5,35,5
137239,64,14,13,2,45,9
119492,80,5,34,2,33,11
147180,95,35,13,5,96,24
156503,94,9,20,3,36,6
194279,39,6,5,24,51,17
152498,22,11,34,10,105,15
75528,88,32,17,1,95,19
230180,23,25,26,27,48,16
191238,80,8,12,27,45,9
79347,31,25,9,23,87,29
262238,46,15,34,24,35,7
239630,65,26,31,24,49,7
178639,60,4,25,29,70,7
251427,52,27,26,15,60,10
217992,61,32,14,10,63,9
87819,12,5,34,27,70,7
181774,90,25,20,30,108,12
171140,63,31,11,3,32,8
203755,80,24,14,12,60,12
198359,35,31,28,22,100,10
222800,80,23,30,14,72,12
215628,81,30,22,31,30,3
189627,83,7,33,32,99,33
81686,65,23,7,12,90,18
210018,85,12,27,12,81,27
189832,84,11,31,29,35,5
107602,90,30,6,16,76,19
204324,94,24,33,16,105,21
263897,35,24,22,16,40,10
45938,33,17,6,10,115,23
228040,24,8,10,12,35,5
122820,92,16,27,2,54,9
192829,95,33,14,5,45,9
53287,22,16,6,28,99,11
159456,77,29,12,17,112,28
212003,56,6,11,4,36,4
214645,31,32,4,10,30,6
232294,34,23,16,29,36,4
232233,23,30,27,14,40,5
218464,68,17,19,22,64,8
32311,4,15,24,14,40,4
236122,20,35,20,17,30,3
159748,83,25,8,20,66,11
31669,72,12,7,22,100,10
186148,95,15,23,5,66,22
141418,79,7,6,10,98,14
97819,14,31,33,1,56,14
26896,8,22,14,31,96,24
184210,36,32,29,16,105,15
78788,12,27,33,27,63,7
97321,14,25,12,5,104,26
196179,67,12,21,31,90,10
126163,41,20,13,15,95,19
243185,59,29,25,24,27,3
8404,4,28,31,19,63,9
176827,92,29,24,23,91,13
251712,24,7,10,11,32,8
108560,38,17,12,17,108,27
238160,44,23,23,30,60,10
171099,27,11,31,19,77,11
63392,67,32,8,28,117,13
226094,21,30,27,21,42,14
161320,91,12,14,11,110,11
186950,43,20,14,31,69,23
139128,17,33,29,26,68,17
103720,9,25,33,17,48,8
264750,45,16,19,11,48,8
236829,38,21,33,27,72,18
183716,85,16,16,29,88,22
104164,23,6,4,16,36,9
144137,20,31,30,14,72,9
78337,23,29,12,28,96,12
190108,83,12,7,18,56,14
8812,53,6,4,19,102,17
258032,41,33,19,11,40,4
112253,14,17,25,5,90,10
44352,11,17,21,31,104,13
58486,9,17,13,11,99,33
226766,41,9,33,15,90,9
184369,84,10,27,18,98,14
164159,90,10,13,28,70,10
233634,65,10,31,14,100,20
198617,17,6,15,7,56,7
120245,90,31,17,2,30,6
159694,37,35,19,13,108,18
139303,85,13,6,10,90,9
74049,6,5,14,3,56,7
134834,32,21,11,20,64,8
90564,54,7,13,1,40,10
36968,10,34,10,26,117,13
194231,85,24,12,30,100,25
228325,64,24,28,14,80,10
38124,16,14,28,25,100,20
75646,47,11,8,8,105,15
149432,95,35,34,3,84,12
111174,5,9,20,5,40,10
69569,5,14,18,12,35,5
72570,8,33,22,24,42,7
229155,56,29,28,28,72,8
137018,73,6,17,2,104,13
234531,53,31,18,30,81,27
240976,34,28,35,17,56,8
178827,92,32,17,22,30,6
206684,67,7,31,28,50,5
136720,71,17,31,2,60,20
7251,19,8,4,28,100,10
187001,79,4,18,13,44,11
228715,52,6,29,17,40,8
121231,18,16,34,9,110,11
228146,54,27,19,7,88,22
224951,55,33,23,25,108,27
26736,4,27,17,3,108,12
5542,4,25,33,23,108,12
205450,56,5,21,19,105,21
88930,6,12,25,1,48,16
202916,86,30,25,22,56,7
244749,30,25,24,20,51,17
205376,78,7,33,29,87,29
157723,37,34,18,27,78,13
240372,54,29,28,22,72,8
148272,89,13,21,3,78,26
94498,84,34,4,3,72,8
72971,80,24,4,8,110,11
160596,71,29,4,30,45,5
237456,40,33,24,13,92,23
208971,37,26,23,22,91,13
129984,96,31,10,28,90,9
184213,95,5,14,9,102,17
9893,10,30,7,26,102,34
206311,81,9,34,14,35,5
184823,84,7,19,11,96,12
267249,37,21,22,22,30,5
199292,82,11,35,29,72,9
214064,70,28,34,14,100,10
115450,85,28,31,2,104,13
253308,48,16,12,27,28,4
116422,13,22,26,29,48,12
45259,13,32,13,25,96,12
103143,71,6,13,25,120,12
212905,68,24,20,17,60,6
224612,71,14,28,9,76,19
106551,26,10,15,16,117,13
