% cluster ARFF file
@relation cluster

@attribute onBoltRate numeric
@attribute joinBoltRate numeric
@attribute spoutRate numeric
@attribute supervisors numeric
@attribute cpu numeric
@attribute memory numeric
@attribute workers numeric
@attribute onBoltNumber numeric
@attribute joinBoltNumber numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric
@attribute cpu_used numeric
@attribute memory_used numeric
@attribute latency numeric

@data
107394,46435,107722,4,96,192,42,4,2,22,19,15,112,28,64,47777,367
204935,92277,205284,4,96,192,25,4,2,25,10,16,36,4,84,33073,2806
35299,15754,35217,4,96,192,25,4,2,25,10,16,36,4,30,33251,420
64587,27872,64942,4,96,192,25,4,2,25,10,16,36,4,41,33482,352
94423,40755,94699,4,96,192,25,4,2,25,10,16,36,4,52,33989,324
124619,53550,124868,4,96,192,25,4,2,25,10,16,36,4,61,34180,402
69497,32603,88138,4,96,192,35,4,2,8,6,28,108,12,79,41578,1860
28143,13524,13450,4,96,192,35,4,2,8,6,28,108,12,37,42593,761
28680,13672,26891,4,96,192,35,4,2,8,6,28,108,12,29,42366,523
39900,18485,39827,4,96,192,35,4,2,8,6,28,108,12,34,43444,483
52547,24302,49961,4,96,192,35,4,2,8,6,28,108,12,42,44041,492
127539,64786,127351,4,96,192,74,4,2,14,12,25,100,10,92,75793,7777
23401,11787,21958,4,96,192,74,4,2,14,12,25,100,10,43,81434,622
41153,18549,39727,4,96,192,74,4,2,14,12,25,100,10,46,79254,624
60617,27340,59532,4,96,192,74,4,2,14,12,25,100,10,58,82189,581
144878,70205,145054,4,96,192,20,4,2,31,20,22,108,27,73,28050,2936
23892,11212,23190,4,96,192,20,4,2,31,20,22,108,27,28,27753,485
45207,19666,45345,4,96,192,20,4,2,31,20,22,108,27,33,27926,477
67162,29009,67444,4,96,192,20,4,2,31,20,22,108,27,42,28444,456
88508,38744,88756,4,96,192,20,4,2,31,20,22,108,27,51,28592,478
200005,91295,200367,4,96,192,55,4,2,11,26,22,79,8,93,58805,3704
35391,14096,33460,4,96,192,55,4,2,11,26,22,79,8,36,64107,578
59945,23908,59633,4,96,192,55,4,2,11,26,22,79,8,49,63726,565
87463,35184,87195,4,96,192,55,4,2,11,26,22,79,8,61,64303,526
113813,46189,113555,4,96,192,55,4,2,11,26,22,79,8,69,65054,538
184147,87208,187033,4,96,192,79,4,2,15,22,7,43,5,93,61834,447
31378,13540,31511,4,96,192,79,4,2,15,22,7,43,5,35,70838,290
52230,22631,52562,4,96,192,79,4,2,15,22,7,43,5,48,70972,207
73114,31683,73443,4,96,192,79,4,2,15,22,7,43,5,60,70676,212
91142,39371,91380,4,96,192,79,4,2,15,22,7,43,5,67,70830,283
201561,108670,198504,4,96,192,56,4,2,23,19,8,110,11,93,56300,1610
32484,14357,33034,4,96,192,56,4,2,23,19,8,110,11,37,59958,331
56476,24794,57030,4,96,192,56,4,2,23,19,8,110,11,49,59574,273
79928,35045,80529,4,96,192,56,4,2,23,19,8,110,11,61,60272,249
100869,43955,101380,4,96,192,56,4,2,23,19,8,110,11,68,61599,338
254801,113405,255781,4,96,192,40,4,2,20,23,27,30,3,93,46763,3079
44881,18936,43433,4,96,192,40,4,2,20,23,27,30,3,39,48430,601
77757,33411,77640,4,96,192,40,4,2,20,23,27,30,3,53,48733,573
115299,49742,115227,4,96,192,40,4,2,20,23,27,30,3,64,49292,536
148242,64459,148045,4,96,192,40,4,2,20,23,27,30,3,72,49756,588
212772,102078,214411,4,96,192,69,4,2,32,16,16,56,8,94,63384,2329
36040,15448,36156,4,96,192,69,4,2,32,16,16,56,8,41,69751,562
62355,26839,63082,4,96,192,69,4,2,32,16,16,56,8,56,69452,457
89896,38222,90617,4,96,192,69,4,2,32,16,16,56,8,67,70164,475
115345,48912,116017,4,96,192,69,4,2,32,16,16,56,8,73,71456,524
215274,97340,214691,4,96,192,19,4,2,22,9,11,42,7,83,26165,2046
34998,15240,35560,4,96,192,19,4,2,22,9,11,42,7,28,26107,307
63178,27776,63533,4,96,192,19,4,2,22,9,11,42,7,38,26274,250
91521,40006,91807,4,96,192,19,4,2,22,9,11,42,7,48,26781,370
116629,50815,116925,4,96,192,19,4,2,22,9,11,42,7,55,27002,350
121411,50705,121857,4,96,192,62,4,2,26,10,32,64,8,91,57972,15547
21153,11824,21140,4,96,192,62,4,2,26,10,32,64,8,34,60257,741
40052,17683,39693,4,96,192,62,4,2,26,10,32,64,8,42,59366,719
59149,25991,59015,4,96,192,62,4,2,26,10,32,64,8,53,59577,694
76162,33007,75981,4,96,192,62,4,2,26,10,32,64,8,60,61154,673
204694,94796,205384,4,96,192,85,4,2,22,30,29,80,16,94,83351,4514
35644,14551,33464,4,96,192,85,4,2,22,30,29,80,16,44,90982,755
61038,24791,60814,4,96,192,85,4,2,22,30,29,80,16,60,90868,715
89574,36933,89399,4,96,192,85,4,2,22,30,29,80,16,71,92148,687
116295,48990,116045,4,96,192,85,4,2,22,30,29,80,16,76,93308,725
215659,103549,218201,4,96,192,44,4,2,25,25,24,92,23,93,49315,3360
62525,28400,63203,4,96,192,5,4,2,30,9,7,81,27,44,11250,5247
10698,5278,11348,4,96,192,5,4,2,30,9,7,81,27,8,11082,209
20456,9379,21080,4,96,192,5,4,2,30,9,7,81,27,11,11276,221
30339,14098,31196,4,96,192,5,4,2,30,9,7,81,27,15,11366,259
39190,17915,40059,4,96,192,5,4,2,30,9,7,81,27,18,11400,308
137351,66069,138577,4,96,192,95,4,2,31,13,21,102,17,92,80668,4209
23532,11396,23402,4,96,192,95,4,2,31,13,21,102,17,37,92141,643
41160,17386,41388,4,96,192,95,4,2,31,13,21,102,17,51,91356,629
60750,25782,61111,4,96,192,95,4,2,31,13,21,102,17,64,92073,587
79213,33297,79608,4,96,192,95,4,2,31,13,21,102,17,69,93859,579
196971,97180,196711,4,96,192,72,4,2,12,26,4,70,10,89,58456,253
31853,13427,32195,4,96,192,72,4,2,12,26,4,70,10,33,64928,206
