% throughput ARFF file
@relation throughput

@attribute supervisors numeric
@attribute cpu numeric
@attribute memory numeric
@attribute workers numeric
@attribute onBoltNumber numeric
@attribute joinBoltNumber numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric
@attribute throughput numeric

@data
4,96,192,59,4,2,20,23,17,36,4,247739
4,96,192,85,4,2,30,22,5,40,4,183816
4,96,192,81,4,2,8,16,22,40,4,170561
4,96,192,59,4,2,8,22,12,84,28,214030
4,96,192,94,4,2,10,13,29,110,11,106184
4,96,192,66,4,2,10,25,14,33,11,245709
4,96,192,91,4,2,21,21,15,98,14,170916
4,96,192,86,4,2,30,16,12,52,13,211389
4,96,192,35,4,2,21,23,29,66,11,244734
4,96,192,58,4,2,23,32,9,40,8,232389
4,96,192,16,4,2,12,8,6,90,9,81045
4,96,192,7,4,2,10,6,26,88,22,38605
4,96,192,78,4,2,17,17,26,39,13,195926
4,96,192,51,4,2,16,23,7,98,14,212421
4,96,192,85,4,2,14,15,25,90,9,141203
4,96,192,20,4,2,31,16,4,96,24,173624
4,96,192,45,4,2,25,14,16,80,8,153284
4,96,192,36,4,2,29,19,28,33,11,239255
4,96,192,69,4,2,6,32,13,70,14,234861
4,96,192,63,4,2,5,14,27,40,8,192469
4,96,192,76,4,2,31,27,26,32,4,204309
4,96,192,96,4,2,11,6,12,72,12,156229
4,96,192,18,4,2,27,12,5,75,15,158069
4,96,192,5,4,2,31,8,16,76,19,36621
4,96,192,12,4,2,16,31,28,72,12,80979
4,96,192,18,4,2,12,26,25,110,22,133219
4,96,192,64,4,2,27,30,32,87,29,212176
4,96,192,19,4,2,7,10,29,105,15,97517
4,96,192,38,4,2,18,6,26,90,9,113152
4,96,192,8,4,2,21,12,29,87,29,35242
4,96,192,11,4,2,12,18,29,36,4,111949
4,96,192,38,4,2,21,11,14,81,9,179721
4,96,192,75,4,2,27,17,22,70,10,196815
4,96,192,61,4,2,6,22,27,57,19,220057
4,96,192,31,4,2,29,5,20,36,4,174762
4,96,192,59,4,2,23,17,20,78,26,216349
4,96,192,51,4,2,23,12,30,27,3,227944
4,96,192,19,4,2,28,15,11,48,8,228417
4,96,192,75,4,2,6,23,10,104,13,185614
4,96,192,79,4,2,5,12,30,108,18,110611
4,96,192,83,4,2,19,27,22,119,17,186364
4,96,192,40,4,2,23,30,10,105,15,235463
4,96,192,78,4,2,4,15,10,72,24,212793
4,96,192,63,4,2,17,13,26,36,4,236103
4,96,192,79,4,2,21,26,4,50,10,201571
4,96,192,27,4,2,28,20,22,54,6,214340
4,96,192,87,4,2,15,14,28,40,8,186483
4,96,192,39,4,2,16,18,21,104,26,205848
4,96,192,13,4,2,22,22,29,36,4,164705
4,96,192,79,4,2,15,20,4,50,5,184057
4,96,192,7,4,2,29,29,9,120,30,60296
4,96,192,63,4,2,17,7,27,77,11,182868
4,96,192,94,4,2,17,12,19,91,13,134670
4,96,192,61,4,2,22,26,16,65,13,222338
4,96,192,40,4,2,24,28,21,76,19,280529
4,96,192,78,4,2,11,20,22,60,12,216545
4,96,192,64,4,2,25,19,17,96,16,217886
4,96,192,70,4,2,5,29,9,40,4,224086
4,96,192,55,4,2,4,4,5,36,6,145528
4,96,192,31,4,2,10,13,22,51,17,254216
4,96,192,27,4,2,30,17,14,48,16,261579
4,96,192,90,4,2,17,7,31,90,15,88115
4,96,192,35,4,2,4,7,20,48,6,209375
4,96,192,10,4,2,7,7,26,64,8,80266
4,96,192,90,4,2,11,24,32,45,9,172668
4,96,192,30,4,2,22,10,21,72,9,176792
4,96,192,16,4,2,14,28,29,40,5,216088
4,96,192,77,4,2,20,7,6,30,6,213543
4,96,192,74,4,2,28,20,4,78,13,184512
4,96,192,74,4,2,26,25,21,30,5,230101
4,96,192,21,4,2,11,12,12,54,9,209675
4,96,192,50,4,2,30,30,25,105,35,256517
4,96,192,24,4,2,30,24,17,36,6,263715
4,96,192,57,4,2,13,9,15,60,12,154992
4,96,192,88,4,2,14,27,6,114,19,171711
4,96,192,68,4,2,8,25,17,64,16,222768
4,96,192,83,4,2,17,18,6,40,8,184997
4,96,192,90,4,2,15,24,31,84,12,168273
4,96,192,84,4,2,13,31,12,112,16,172150
4,96,192,7,4,2,32,13,16,60,6,63391
4,96,192,40,4,2,16,16,26,63,21,268460
4,96,192,66,4,2,12,16,16,48,16,231851
4,96,192,61,4,2,15,28,29,120,24,196199
4,96,192,47,4,2,28,21,27,54,6,234114
4,96,192,95,4,2,22,29,11,42,14,205504
4,96,192,35,4,2,27,11,21,119,17,116674
4,96,192,28,4,2,15,30,25,72,9,212979
4,96,192,43,4,2,24,11,26,75,15,205563
4,96,192,14,4,2,29,22,23,28,7,189462
4,96,192,71,4,2,27,31,10,104,13,230261
4,96,192,70,4,2,16,31,12,60,6,240712
4,96,192,95,4,2,9,4,18,27,3,182655
4,96,192,31,4,2,22,12,19,40,4,227707
4,96,192,66,4,2,18,7,8,33,11,228257
4,96,192,40,4,2,7,21,14,90,9,191246
4,96,192,16,4,2,16,20,19,115,23,113215
4,96,192,78,4,2,23,15,8,52,13,214470
4,96,192,8,4,2,24,27,32,64,8,44592
4,96,192,28,4,2,11,9,12,49,7,144555
4,96,192,46,4,2,28,32,21,108,36,234054
4,96,192,28,4,2,30,12,21,64,16,157042
4,96,192,57,4,2,9,13,12,90,15,147047
4,96,192,74,4,2,26,13,17,65,13,191802
4,96,192,18,4,2,16,6,25,80,20,63802
4,96,192,96,4,2,25,29,8,55,11,211595
4,96,192,80,4,2,15,32,21,102,17,186153
4,96,192,34,4,2,6,14,24,45,5,199220
4,96,192,62,4,2,5,32,22,35,7,202157
4,96,192,65,4,2,31,22,9,108,12,206368
4,96,192,29,4,2,14,16,14,90,10,163061
4,96,192,21,4,2,26,15,20,96,16,114836
4,96,192,32,4,2,20,15,11,80,10,180912
4,96,192,73,4,2,16,14,10,60,15,220676
4,96,192,24,4,2,14,31,9,40,5,242302
4,96,192,91,4,2,15,5,13,63,7,160022
4,96,192,17,4,2,12,11,13,42,6,192882
4,96,192,67,4,2,32,4,29,27,3,186174
4,96,192,79,4,2,25,16,26,42,7,190972
4,96,192,7,4,2,25,16,12,70,10,57911
4,96,192,94,4,2,10,15,9,105,15,175272
4,96,192,37,4,2,31,29,11,54,6,255988
4,96,192,28,4,2,20,12,8,66,11,247735
4,96,192,94,4,2,7,25,31,68,17,185976
4,96,192,44,4,2,6,15,12,112,14,134966
4,96,192,54,4,2,10,25,24,72,18,248465
4,96,192,79,4,2,18,26,9,78,13,208643
4,96,192,26,4,2,18,13,16,28,4,252324
4,96,192,93,4,2,4,24,11,99,33,174269
4,96,192,50,4,2,30,28,27,63,7,232561
4,96,192,22,4,2,32,10,8,30,5,239298
4,96,192,61,4,2,19,22,19,64,16,238799
4,96,192,77,4,2,31,30,12,100,20,205064
4,96,192,42,4,2,10,15,17,84,14,218514
4,96,192,48,4,2,12,9,7,50,5,177754
4,96,192,43,4,2,23,10,32,56,8,139251
4,96,192,78,4,2,13,8,27,60,6,116086
4,96,192,12,4,2,23,27,19,78,13,97561
4,96,192,14,4,2,11,31,5,120,15,111983
4,96,192,49,4,2,6,26,5,72,12,218598
4,96,192,15,4,2,7,9,16,50,5,127359
4,96,192,48,4,2,18,29,31,24,3,245222
4,96,192,17,4,2,6,21,19,40,5,214680
4,96,192,70,4,2,16,5,24,30,3,167871
4,96,192,48,4,2,7,25,21,110,11,210794
4,96,192,37,4,2,25,20,21,35,7,273954
4,96,192,74,4,2,10,22,9,99,11,191072
4,96,192,53,4,2,27,25,32,30,3,236503
4,96,192,23,4,2,22,19,30,36,6,217799
4,96,192,51,4,2,8,10,25,72,18,191226
4,96,192,44,4,2,7,32,19,102,17,234720
4,96,192,55,4,2,6,25,16,60,15,253075
4,96,192,93,4,2,18,18,28,40,4,174440
4,96,192,31,4,2,24,26,15,56,7,241470
4,96,192,29,4,2,24,6,16,27,3,182053
4,96,192,23,4,2,25,13,17,56,8,185918
4,96,192,74,4,2,9,15,28,110,22,167953
4,96,192,28,4,2,16,14,20,117,13,120517
4,96,192,86,4,2,4,17,21,78,26,170840
4,96,192,38,4,2,21,6,17,56,8,153365
4,96,192,5,4,2,24,6,20,32,8,40942
4,96,192,81,4,2,25,9,7,48,8,182225
4,96,192,6,4,2,4,21,25,32,4,54356
4,96,192,45,4,2,24,26,27,80,20,244066
4,96,192,83,4,2,20,20,30,70,10,170510
4,96,192,27,4,2,11,19,9,105,15,176566
4,96,192,78,4,2,23,25,26,100,20,190424
4,96,192,91,4,2,7,7,12,63,7,156157
4,96,192,91,4,2,25,8,12,108,12,139849
