% ARFF file
@relation stormSample

@attribute dataRate numeric
@attribute supervisors numeric
@attribute cpucores numeric
@attribute memory numeric
@attribute workers numeric
@attribute spouts numeric
@attribute bolts numeric
@attribute cpu_used numeric
@attribute memory_used numeric
@attribute latency numeric

@data
18515,2,8,3.8,4,8,16,34,1343,8473
27452,2,8,3.8,4,8,16,44,1473,5596
39349,2,8,3.8,4,8,16,60,1521,1604
7084,2,8,3.8,4,8,16,13,1524,384
50644,2,8,3.8,4,8,16,78,1574,655
45155,2,8,3.8,4,8,16,71,1674,2803
13842,2,8,3.8,4,8,16,20,1742,7234
5693,2,8,3.8,4,8,16,10,1711,232
22306,2,8,3.8,4,8,16,35,1744,3450
4213,2,8,3.8,6,16,8,11,1552,2157
23135,2,8,3.8,6,16,8,42,1920,6528
18920,2,8,3.8,6,16,8,35,2037,9521
15320,2,8,3.8,6,16,8,28,2087,13722
17953,2,8,3.8,6,16,8,33,2076,476
9847,2,8,3.8,6,16,8,22,1724,422
6271,2,8,3.8,6,16,8,11,1504,1932
41973,2,8,3.8,6,16,8,79,2151,5553
16224,2,8,3.8,6,16,8,32,2308,8500
14929,2,8,3.8,6,16,8,28,2314,420
12168,2,8,3.8,6,16,8,25,2319,160
795,2,8,3.8,4,4,4,3,964,371
26533,2,8,3.8,4,4,4,45,1188,1808
26610,2,8,3.8,4,4,4,44,1379,1980
1480,2,8,3.8,4,4,4,3,1414,1631
39699,2,8,3.8,4,4,4,58,1432,1398
46859,2,8,3.8,4,4,4,77,1503,646
6494,2,8,3.8,4,4,4,13,1368,251
10640,2,8,3.8,4,4,4,18,1375,159
23030,2,8,3.8,4,4,4,35,1522,2861
45021,2,8,3.8,4,4,4,69,1553,1120
47207,2,8,3.8,4,4,4,74,1591,1389
906,2,8,3.8,4,4,8,3,1001,428
31401,2,8,3.8,4,4,8,47,1286,4307
21503,2,8,3.8,4,4,8,36,1432,3150
30830,2,8,3.8,4,4,8,51,1450,44
21373,2,8,3.8,4,4,8,33,1445,60
13990,2,8,3.8,4,4,8,24,1381,144
40935,2,8,3.8,4,4,8,62,1490,926
31867,2,8,3.8,4,4,8,51,1553,2871
46845,2,8,3.8,4,4,8,73,1589,977
32606,2,8,3.8,4,4,8,57,1605,3271
1633,2,8,3.8,4,8,4,4,1013,478
2713,2,8,3.8,4,8,4,6,982,854
14833,2,8,3.8,4,8,4,27,1359,7732
12186,2,8,3.8,4,8,4,22,1371,3590
18367,2,8,3.8,4,8,4,31,1459,7971
13152,2,8,3.8,4,8,4,21,1468,4552
19581,2,8,3.8,4,8,4,30,1502,6788
21411,2,8,3.8,4,8,4,25,1555,5643
10735,2,8,3.8,4,8,4,19,1562,3352
12969,2,8,3.8,4,8,4,19,1571,7867
