% cluster ARFF file
@relation cluster

@attribute onBoltRate numeric
@attribute joinBoltRate numeric
@attribute spoutRate numeric
@attribute supervisors numeric
@attribute cpu numeric
@attribute memory numeric
@attribute workers numeric
@attribute onBoltNumber numeric
@attribute joinBoltNumber numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric
@attribute cpu_used numeric
@attribute memory_used numeric
@attribute latency numeric

@data
75894,33150,76010,4,40,160,51,4,2,22,18,12,30,10,37,27745,549
107856,46728,108655,4,40,160,51,4,2,22,18,12,30,10,50,28316,375
135658,58729,136556,4,40,160,51,4,2,22,18,12,30,10,60,30012,287
157112,65174,161608,4,40,160,40,4,2,6,11,16,30,10,83,22594,2955
40781,16016,39847,4,40,160,40,4,2,6,11,16,30,10,18,25325,2579
72953,28410,73112,4,40,160,40,4,2,6,11,16,30,10,30,25508,696
105319,41504,106075,4,40,160,40,4,2,6,11,16,30,10,40,26644,558
135686,53595,136167,4,40,160,40,4,2,6,11,16,30,10,49,27446,462
209753,86826,212676,4,40,160,12,4,2,4,19,16,30,10,68,13986,2442
44015,18825,43478,4,40,160,12,4,2,4,19,16,30,10,15,13675,2116
85051,36410,85211,4,40,160,12,4,2,4,19,16,30,10,24,13898,612
118459,50640,118758,4,40,160,12,4,2,4,19,16,30,10,31,14217,589
147141,62771,147936,4,40,160,12,4,2,4,19,16,30,10,38,14316,729
155739,64511,157151,4,40,160,44,4,2,11,16,7,30,10,81,22351,1234
33989,14183,33802,4,40,160,44,4,2,11,16,7,30,10,16,25227,1090
62185,26102,62333,4,40,160,44,4,2,11,16,7,30,10,29,25116,394
88425,37031,88766,4,40,160,44,4,2,11,16,7,30,10,39,25809,278
110460,46474,111190,4,40,160,44,4,2,11,16,7,30,10,48,27103,222
108664,46205,109884,4,40,160,11,4,2,7,5,11,30,10,45,13114,1826
101434,42946,101522,4,40,160,11,4,2,7,5,11,30,10,33,13684,1913
27223,11679,27295,4,40,160,11,4,2,7,5,11,30,10,9,13483,6
40807,17518,40988,4,40,160,11,4,2,7,5,11,30,10,13,13253,9
54549,23351,54506,4,40,160,11,4,2,7,5,11,30,10,17,13317,6
181467,76919,183433,4,40,160,33,4,2,13,12,18,30,10,84,21274,2977
38728,16824,38603,4,40,160,33,4,2,13,12,18,30,10,17,23284,2587
72766,31189,73209,4,40,160,33,4,2,13,12,18,30,10,29,23114,698
110393,47484,111074,4,40,160,33,4,2,13,12,18,30,10,39,24032,571
139574,59933,140186,4,40,160,33,4,2,13,12,18,30,10,48,24712,475
153451,63725,155206,4,40,160,35,4,2,11,7,23,30,10,81,21291,4643
31981,14732,31133,4,40,160,35,4,2,11,7,23,30,10,16,23028,4078
62073,26741,62471,4,40,160,35,4,2,11,7,23,30,10,26,22661,800
93323,40464,93645,4,40,160,35,4,2,11,7,23,30,10,34,23599,719
119380,51449,119913,4,40,160,35,4,2,11,7,23,30,10,41,24301,642
194886,81984,196433,4,40,160,16,4,2,16,17,22,30,10,72,15984,3699
45080,19339,44804,4,40,160,16,4,2,16,17,22,30,10,17,15922,3172
86388,36602,86707,4,40,160,16,4,2,16,17,22,30,10,26,16039,726
124103,52544,125030,4,40,160,16,4,2,16,17,22,30,10,34,16405,662
162647,69218,163996,4,40,160,16,4,2,16,17,22,30,10,44,16581,616
192923,83393,195073,4,40,160,37,4,2,19,14,5,30,10,80,20457,512
41860,17640,41762,4,40,160,37,4,2,19,14,5,30,10,19,22048,470
75948,32550,76080,4,40,160,37,4,2,19,14,5,30,10,33,21151,202
105138,45081,105694,4,40,160,37,4,2,19,14,5,30,10,44,21937,139
126364,53893,126892,4,40,160,37,4,2,19,14,5,30,10,51,22727,111
