% cluster ARFF file
@relation cluster

@attribute onBoltRate numeric
@attribute joinBoltRate numeric
@attribute spoutRate numeric
@attribute supervisors numeric
@attribute cpu numeric
@attribute memory numeric
@attribute workers numeric
@attribute onBoltNumber numeric
@attribute joinBoltNumber numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric
@attribute cpu_used numeric
@attribute memory_used numeric
@attribute latency numeric

@data
201717,84496,202458,4,40,160,7,4,2,21,21,5,30,10,59,12083,669
72664,30500,71764,4,40,160,6,4,2,14,9,22,30,10,44,11663,9951
121015,49135,123725,4,40,160,51,4,2,19,11,13,30,10,83,24146,2976
201372,87085,203194,4,40,160,10,4,2,4,11,5,30,10,56,12908,644
223257,102163,230284,4,40,160,18,4,2,10,7,4,30,10,74,15091,457
217620,94686,218463,4,40,160,20,4,2,11,23,23,30,10,81,18334,3322
182753,73272,184936,4,40,160,40,4,2,19,7,13,30,10,85,22192,2210
83197,34572,83802,4,40,160,6,4,2,11,4,14,30,10,44,11675,5298
182234,67316,183534,4,40,160,28,4,2,19,5,17,30,10,81,19569,3447
143288,60749,143611,4,40,160,7,4,2,7,10,12,30,10,55,12000,2763
79762,33803,79363,4,40,160,5,4,2,15,13,16,30,10,38,10641,6366
220454,95851,221266,4,40,160,28,4,2,5,12,4,30,10,78,18857,415
238900,102034,240102,4,40,160,18,4,2,22,17,4,30,10,74,16778,354
183225,77938,184638,4,40,160,26,4,2,21,12,18,30,10,81,19904,2984
184328,79557,185454,4,40,160,21,4,2,5,12,16,30,10,75,18174,2745
133852,54991,136154,4,40,160,46,4,2,8,21,20,30,10,85,24820,4300
159397,67816,160646,4,40,160,5,4,2,16,18,4,30,10,51,10555,603
124367,52946,126644,4,40,160,51,4,2,22,21,19,30,10,87,25087,4061
217536,94881,219428,4,40,160,28,4,2,11,9,6,30,10,80,19137,670
179417,62409,181941,4,40,160,32,4,2,11,4,12,30,10,80,20115,2728
218062,91847,221185,4,40,160,25,4,2,8,18,16,30,10,82,19746,2165
221354,95969,222800,4,40,160,11,4,2,15,21,6,30,10,65,13991,761
